x,y,z,E,C,R,A,Memoire
10,1,1,0.960001,0,0.872786,40,0.998
11,1,1,0.960001,0,0.29785,40,1
12,1,1,0.960001,0,0.673517,40,1
13,1,1,0.960001,0,0.712365,40,0.999
14,1,1,0.960001,0,0.70796,40,1
15,1,1,0.960001,0,0.541247,40,0.999
0,2,1,0.960001,0,0.6806,40,0.999
1,2,1,0.960001,0,0.638839,40,1
2,2,1,0.960001,0,0.461254,40,0.999
3,2,1,0.960001,0,0.281686,40,1
4,2,1,0.960001,0,0.639718,40,1
5,2,1,0.960001,0,0.640901,40,0.999
6,2,1,0.960001,0,0.478673,40,1
7,2,1,0.960001,0,0.225111,40,1
8,2,1,0.960001,0,0.218272,40,1
9,2,1,0.960001,0,0.46559,40,1
10,2,1,0.960001,0,0.279646,40,1
11,2,1,0.960001,0,0.162421,40,1
12,2,1,0.960001,0,0.583924,40,0.999
13,2,1,0.960001,0,0.672887,40,1
0,3,1,0.960001,0,0.864495,40,1
1,3,1,0.960001,0,0.71178,40,0.999
2,3,1,0.960001,0,0.854113,40,0.999
3,3,1,0.960001,0,0.295764,40,1
4,3,1,0.960001,0,0.650451,40,1
5,3,1,0.960001,0,0.200836,40,1
6,3,1,0.960001,0,0.259709,40,1
7,3,1,0.960001,0,0.320373,40,1
8,3,1,0.960001,0,0.12582,40,1
9,3,1,0.960001,0,0.459513,40,0.999
10,3,1,0.960001,0,0.28837,40,1
11,3,1,0.960001,0,0.146922,40,1
12,3,1,0.960001,0,0.872091,40,1
0,4,1,0.960001,0,0.650109,40,1
1,4,1,0.960001,0,0.688253,40,0.999
2,4,1,0.960001,0,0.122675,40,1
3,4,1,0.960001,0,0.877126,40,1
4,4,1,0.960001,0,0.23616,40,1
5,4,1,0.960001,0,0.143425,40,0.999
6,4,1,0.960001,0,0.668111,40,1
7,4,1,0.960001,0,0.667086,40,0.998
8,4,1,0.960001,0,0.34969,40,0.999
9,4,1,0.960001,0,0.899177,40,1
10,4,1,0.960001,0,0.134317,40,1
0,5,1,0.960001,0,0.553266,40,1
1,5,1,0.960001,0,0.45558,40,0.999
2,5,1,0.960001,0,0.732285,40,1
3,5,1,0.960001,0,0.258509,40,1
4,5,1,0.960001,0,0.549642,40,0.999
5,5,1,0.960001,0,0.649312,40,1
6,5,1,0.960001,0,0.545829,40,0.998
7,5,1,0.960001,0,0.651001,40,1
8,5,1,0.960001,0,0.595135,40,1
9,5,1,0.960001,0,0.646635,40,0.999
0,6,1,0.960001,0,0.115722,40,1
1,6,1,0.960001,0,0.847382,40,1
2,6,1,0.960001,0,0.654721,40,1
3,6,1,0.960001,0,0.83208,40,0.999
4,6,1,0.960001,0,0.120688,40,0.999
5,6,1,0.960001,0,0.398067,40,1
6,6,1,0.960001,0,0.562888,40,0.999
7,6,1,0.960001,0,0.722861,40,1
8,6,1,0.960001,0,0.110995,40,1
0,7,1,0.960001,0,0.460206,40,1
1,7,1,0.960001,0,0.317557,40,1
2,7,1,0.960001,0,0.201114,40,1
3,7,1,0.960001,0,0.803168,40,0.999
4,7,1,0.960001,0,0.557713,40,1
5,7,1,0.960001,0,0.74793,40,0.999
6,7,1,0.960001,0,0.230206,40,0.999
7,7,1,0.960001,0,0.247247,40,1
8,7,1,0.960001,0,0.774766,40,0.999
9,7,1,0.960001,0,0.589136,40,0.999
10,7,1,0.960001,0,0.16693,40,1
0,8,1,0.960001,0,0.420751,40,1
1,8,1,0.960001,0,0.552356,40,1
2,8,1,0.960001,0,0.557266,40,1
3,8,1,0.960001,0,0.146286,40,1
4,8,1,0.960001,0,0.139604,40,1
0,9,1,0.960001,0,0.322967,40,0.999
1,9,1,0.960001,0,0.733456,40,1
2,9,1,0.960001,0,0.103569,40,0.999
3,9,1,0.960001,0,0.843489,40,0.999
4,9,1,0.960001,0,0.760359,40,1
5,9,1,0.960001,0,0.42809,40,1
0,10,1,0.960001,0,0.878799,40,1
1,10,1,0.960001,0,0.52251,40,0.999
1,0,2,0.960001,0,0.708515,40,1
2,0,2,0.960001,0,0.284078,40,0.999
5,0,2,0.960001,0,0.187633,40,1
6,0,2,0.960001,0,0.261817,40,1
8,0,2,0.960001,0,0.499552,40,1
9,0,2,0.960001,0,0.385274,40,0.999
13,0,2,0.960001,0,0.716081,40,1
14,0,2,0.960001,0,0.523567,40,1
0,1,2,0.960001,0,0.351371,40,1
1,1,2,0.960001,0,0.483864,40,0.999
2,1,2,0.960001,0,0.189749,40,1
3,1,2,0.960001,0,0.697909,40,0.999
4,1,2,0.960001,0,0.691735,40,0.999
5,1,2,0.960001,0,0.562176,40,0.999
6,1,2,0.960001,0,0.350952,40,1
7,1,2,0.960001,0,0.215415,40,1
8,1,2,0.960001,0,0.700188,40,1
9,1,2,0.960001,0,0.223905,40,0.999
10,1,2,0.960001,0,0.447301,40,1
11,1,2,0.960001,0,0.327785,40,1
12,1,2,0.960001,0,0.480552,40,1
0,2,2,0.960001,0,0.470587,40,1
4,2,2,0.960001,0,0.853618,40,1
5,2,2,0.960001,0,0.761372,40,0.999
9,2,2,0.960001,0,0.814946,40,1
11,2,2,0.960001,0,0.542201,40,1
0,3,2,0.960001,0,0.751094,40,0.999
1,3,2,0.960001,0,0.81544,40,0.997
2,3,2,0.960001,0,0.677881,40,0.998
3,3,2,0.960001,0,0.575903,40,0.999
4,3,2,0.960001,0,0.138462,40,1
5,3,2,0.960001,0,0.802208,40,0.992
6,3,2,0.960001,0,0.596355,40,1
7,3,2,0.960001,0,0.15429,40,0.999
8,3,2,0.960001,0,0.734402,40,1
1,4,2,0.960001,0,0.336545,40,1
2,4,2,0.960001,0,0.847394,40,1
3,4,2,0.960001,0,0.667967,40,1
4,4,2,0.960001,0,0.461621,40,1
7,4,2,0.960001,0,0.890118,40,0.993
0,5,2,0.960001,0,0.750914,40,0.999
1,5,2,0.960001,0,0.869224,40,1
2,5,2,0.960001,0,0.48112,40,0.999
4,5,2,0.960001,0,0.862381,40,1
5,5,2,0.960001,0,0.563245,40,0.999
0,6,2,0.960001,0,0.297587,40,1
3,6,2,0.960001,0,0.78181,40,1
0,7,2,0.960001,0,0.759502,40,1
1,7,2,0.960001,0,0.885919,40,1
0,0,3,0.960001,0,0.634165,40,1
1,0,3,0.960001,0,0.488284,40,1
2,0,3,0.960001,0,0.20653,40,0.999
3,0,3,0.960001,0,0.355837,40,0.999
4,0,3,0.960001,0,0.600102,40,1
5,0,3,0.960001,0,0.681994,40,0.999
6,0,3,0.960001,0,0.830616,40,0.999
7,0,3,0.960001,0,0.198985,40,0.999
8,0,3,0.960001,0,0.386207,40,1
9,0,3,0.960001,0,0.294518,40,1
10,0,3,0.960001,0,0.688314,40,1
11,0,3,0.960001,0,0.819398,40,0.998
0,1,3,0.960001,0,0.31767,40,0.999
1,1,3,0.960001,0,0.361816,40,1
2,1,3,0.960001,0,0.191739,40,1
3,1,3,0.960001,0,0.46089,40,0.999
4,1,3,0.960001,0,0.138644,40,0.999
5,1,3,0.960001,0,0.126833,40,1
6,1,3,0.960001,0,0.256858,40,0.999
7,1,3,0.960001,0,0.790735,40,1
8,1,3,0.960001,0,0.824906,40,1
9,1,3,0.960001,0,0.138105,40,0.999
10,1,3,0.960001,0,0.290171,40,1
11,1,3,0.960001,0,0.194213,40,1
12,1,3,0.960001,0,0.352446,40,0.999
0,2,3,0.960001,0,0.424391,40,0.999
1,2,3,0.960001,0,0.171472,40,1
2,2,3,0.960001,0,0.361742,40,0.999
3,2,3,0.960001,0,0.529359,40,1
4,2,3,0.960001,0,0.204071,40,1
5,2,3,0.960001,0,0.407694,40,0.999
6,2,3,0.960001,0,0.264997,40,1
7,2,3,0.960001,0,0.375403,40,0.999
8,2,3,0.960001,0,0.319363,40,0.999
9,2,3,0.960001,0,0.583354,40,0.994
10,2,3,0.960001,0,0.58643,40,0.998
0,3,3,0.960001,0,0.299311,40,1
1,3,3,0.960001,0,0.233032,40,1
2,3,3,0.960001,0,0.80564,40,1
3,3,3,0.960001,0,0.359643,40,1
4,3,3,0.960001,0,0.169557,40,1
5,3,3,0.960001,0,0.860249,40,1
6,3,3,0.960001,0,0.263045,40,1
7,3,3,0.960001,0,0.277789,40,0.999
8,3,3,0.960001,0,0.676888,40,0.999
9,3,3,0.960001,0,0.482383,40,1
10,3,3,0.960001,0,0.269316,40,0.999
0,4,3,0.960001,0,0.170413,40,1
1,4,3,0.960001,0,0.262903,40,0.999
2,4,3,0.960001,0,0.464267,40,1
3,4,3,0.960001,0,0.431015,40,1
4,4,3,0.960001,0,0.822612,40,0.999
5,4,3,0.960001,0,0.607909,40,1
6,4,3,0.960001,0,0.849577,40,0.991
0,5,3,0.960001,0,0.619215,40,1
1,5,3,0.960001,0,0.507013,40,1
2,5,3,0.960001,0,0.63284,40,1
3,5,3,0.960001,0,0.61373,40,1
4,5,3,0.960001,0,0.827369,40,1
5,5,3,0.960001,0,0.667778,40,1
6,5,3,0.960001,0,0.404622,40,1
0,6,3,0.960001,0,0.611263,40,0.996
1,6,3,0.960001,0,0.1684,40,1
2,6,3,0.960001,0,0.180267,40,1
3,6,3,0.960001,0,0.870186,40,1
0,7,3,0.960001,0,0.47728,40,1
1,7,3,0.960001,0,0.861637,40,0.999
2,7,3,0.960001,0,0.59712,40,0.999
0,0,4,0.960001,0,0.276872,40,1
3,0,4,0.960001,0,0.158053,40,1
4,0,4,0.960001,0,0.218501,40,1
7,0,4,0.960001,0,0.784777,40,1
8,0,4,0.960001,0,0.328515,40,1
9,0,4,0.960001,0,0.308872,40,0.999
0,1,4,0.960001,0,0.159083,40,0.999
1,1,4,0.960001,0,0.10526,40,1
2,1,4,0.960001,0,0.359839,40,1
3,1,4,0.960001,0,0.468877,40,1
4,1,4,0.960001,0,0.512519,40,1
5,1,4,0.960001,0,0.589871,40,1
6,1,4,0.960001,0,0.448654,40,0.999
