x,y,z,E,C,R,A,M
3,3,3,0.99,0,0.817039,10,1
4,3,3,0.99,0,0.695381,10,1
5,3,3,0.99,0,0.774319,10,0.999
6,3,3,0.99,0,0.861624,10,0.999
0,4,3,0.99,0,0.100717,10,1
1,4,3,0.99,0,0.177545,10,0.999
2,4,3,0.99,0,0.54985,10,1
3,4,3,0.99,0,0.692123,10,1
5,4,3,0.99,0,0.300684,10,1
0,5,3,0.99,0,0.610224,10,1
1,5,3,0.99,0,0.514954,10,1
2,5,3,0.99,0,0.693926,10,1
0,6,3,0.99,0,0.229788,10,1
1,6,3,0.99,0,0.138103,10,0.999
2,6,3,0.99,0,0.614822,10,0.999
0,7,3,0.99,0,0.294536,10,1
1,7,3,0.99,0,0.612969,10,1
0,8,3,0.99,0,0.406663,10,0.999
1,0,4,0.99,0,0.458337,10,1
2,0,4,0.99,0,0.59621,10,0.999
3,0,4,0.99,0,0.772746,10,1
5,0,4,0.99,0,0.74133,10,1
6,0,4,0.99,0,0.246355,10,1
9,0,4,0.99,0,0.397487,10,0.999
10,0,4,0.99,0,0.394264,10,0.999
11,0,4,0.99,0,0.621958,10,1
0,1,4,0.99,0,0.41103,10,1
1,1,4,0.99,0,0.496888,10,1
2,1,4,0.99,0,0.771293,10,1
3,1,4,0.99,0,0.545991,10,0.999
5,1,4,0.99,0,0.405823,10,1
7,1,4,0.99,0,0.538122,10,0.999
1,2,4,0.99,0,0.307541,10,0.999
5,2,4,0.99,0,0.103284,10,0.999
6,2,4,0.99,0,0.892443,10,1
7,2,4,0.99,0,0.242547,10,1
1,3,4,0.99,0,0.153375,10,1
3,3,4,0.99,0,0.834982,10,0.999
4,3,4,0.99,0,0.846419,10,1
5,3,4,0.99,0,0.155015,10,1
6,3,4,0.99,0,0.695942,10,1
2,4,4,0.99,0,0.805682,10,1
4,4,4,0.99,0,0.337776,10,1
6,4,4,0.99,0,0.761832,10,0.999
0,5,4,0.99,0,0.553702,10,1
4,5,4,0.99,0,0.479226,10,1
1,6,4,0.99,0,0.217592,10,1
2,6,4,0.99,0,0.742521,10,0.993
1,7,4,0.99,0,0.719576,10,0.998
0,0,5,0.99,0,0.137164,10,1
1,0,5,0.99,0,0.806315,10,0.999
2,0,5,0.99,0,0.795185,10,0.999
5,0,5,0.99,0,0.489579,10,1
6,0,5,0.99,0,0.721425,10,1
7,0,5,0.99,0,0.244564,10,1
8,0,5,0.99,0,0.67028,10,1
9,0,5,0.99,0,0.250615,10,0.999
0,1,5,0.99,0,0.894797,10,1
1,1,5,0.99,0,0.607396,10,0.999
2,1,5,0.99,0,0.126879,10,1
3,1,5,0.99,0,0.309961,10,0.999
4,1,5,0.99,0,0.695602,10,1
5,1,5,0.99,0,0.6289,10,0.999
6,1,5,0.99,0,0.380698,10,0.999
7,1,5,0.99,0,0.874824,10,1
8,1,5,0.99,0,0.750177,10,1
9,1,5,0.99,0,0.453225,10,1
0,2,5,0.99,0,0.315043,10,0.996
1,2,5,0.99,0,0.248224,10,1
2,2,5,0.99,0,0.752383,10,0.999
3,2,5,0.99,0,0.173479,10,1
4,2,5,0.99,0,0.133665,10,0.999
5,2,5,0.99,0,0.33601,10,1
6,2,5,0.99,0,0.452362,10,1
0,3,5,0.99,0,0.664853,10,1
1,3,5,0.99,0,0.782533,10,1
7,3,5,0.99,0,0.297938,10,1
0,4,5,0.99,0,0.561416,10,1
1,4,5,0.99,0,0.120848,10,0.998
2,4,5,0.99,0,0.522632,10,1
6,4,5,0.99,0,0.643214,10,0.999
0,5,5,0.99,0,0.672677,10,0.999
0,6,5,0.99,0,0.40897,10,1
1,6,5,0.99,0,0.585439,10,1
1,0,6,0.99,0,0.765006,10,1
2,0,6,0.99,0,0.183631,10,0.999
3,0,6,0.99,0,0.334896,10,1
5,0,6,0.99,0,0.609695,10,0.999
8,0,6,0.99,0,0.733889,10,0.998
0,1,6,0.99,0,0.798751,10,0.998
1,1,6,0.99,0,0.257823,10,0.999
2,1,6,0.99,0,0.188698,10,0.999
4,1,6,0.99,0,0.696702,10,0.999
5,1,6,0.99,0,0.39974,10,1
1,2,6,0.99,0,0.551239,10,0.999
2,2,6,0.99,0,0.398337,10,1
4,2,6,0.99,0,0.144282,10,1
5,2,6,0.99,0,0.666742,10,1
0,3,6,0.99,0,0.180449,10,1
1,3,6,0.99,0,0.805586,10,1
2,3,6,0.99,0,0.588981,10,0.999
3,3,6,0.99,0,0.684399,10,0.999
4,3,6,0.99,0,0.627203,10,1
0,4,6,0.99,0,0.220876,10,1
1,4,6,0.99,0,0.100016,10,1
2,4,6,0.99,0,0.432471,10,0.999
2,5,6,0.99,0,0.568689,10,1
2,7,6,0.99,0,0.184961,10,1
0,0,7,0.99,0,0.414136,10,1
1,0,7,0.99,0,0.463914,10,1
2,0,7,0.99,0,0.583932,10,1
3,0,7,0.99,0,0.209681,10,0.999
4,0,7,0.99,0,0.157512,10,1
5,0,7,0.99,0,0.277505,10,0.999
6,0,7,0.99,0,0.359119,10,1
7,0,7,0.99,0,0.849942,10,1
8,0,7,0.99,0,0.220496,10,1
9,0,7,0.99,0,0.743549,10,0.999
10,0,7,0.99,0,0.556181,10,0.998
0,1,7,0.99,0,0.666715,10,0.999
1,1,7,0.99,0,0.164898,10,1
2,1,7,0.99,0,0.87122,10,1
3,1,7,0.99,0,0.398102,10,1
4,1,7,0.99,0,0.136839,10,0.997
5,1,7,0.99,0,0.36662,10,1
6,1,7,0.99,0,0.497261,10,1
8,1,7,0.99,0,0.514713,10,1
4,4,7,0.99,0,0.589431,10,1
3,6,7,0.99,0,0.235816,10,1
1,0,8,0.99,0,0.871793,10,0.999
3,0,8,0.99,0,0.550586,10,0.999
5,0,8,0.99,0,0.124076,10,0.999
8,0,8,0.99,0,0.151744,10,1
1,1,8,0.99,0,0.268937,10,1
2,1,8,0.99,0,0.670211,10,1
3,1,8,0.99,0,0.298425,10,1
4,1,8,0.99,0,0.559363,10,1
8,1,8,0.99,0,0.26361,10,0.999
0,0,9,0.99,0,0.268094,10,1
1,0,9,0.99,0,0.119322,10,0.999
2,0,9,0.99,0,0.742344,10,1
6,0,9,0.99,0,0.369224,10,1
8,0,9,0.99,0,0.690087,10,1
0,1,9,0.99,0,0.181747,10,0.998
1,1,9,0.99,0,0.594038,10,1
2,1,9,0.99,0,0.435916,10,1
3,1,9,0.99,0,0.289342,10,1
4,1,9,0.99,0,0.279342,10,1
6,1,9,0.99,0,0.228354,10,1
1,1,10,0.99,0,0.553204,10,0.997
