x,y,z,E,C,R,A,M
1,0,0,0.99,0,0.806007,10,0.999
2,0,0,0.99,0,0.469004,10,1
4,0,0,0.99,0,0.254024,10,1
6,0,0,0.99,0,0.478084,10,1
7,0,0,0.99,0,0.442768,10,1
8,0,0,0.99,0,0.534513,10,0.999
11,0,0,0.99,0,0.683246,10,1
12,0,0,0.99,0,0.888572,10,0.999
13,0,0,0.99,0,0.549554,10,0.999
0,1,0,0.99,0,0.148166,10,0.999
1,1,0,0.99,0,0.741448,10,0.999
2,1,0,0.99,0,0.749547,10,0.999
3,1,0,0.99,0,0.425434,10,1
5,1,0,0.99,0,0.562253,10,0.999
6,1,0,0.99,0,0.689624,10,1
7,1,0,0.99,0,0.169289,10,1
8,1,0,0.99,0,0.137508,10,1
9,1,0,0.99,0,0.681065,10,1
10,1,0,0.99,0,0.128648,10,0.999
11,1,0,0.99,0,0.558562,10,1
12,1,0,0.99,0,0.327386,10,1
13,1,0,0.99,0,0.730836,10,1
1,2,0,0.99,0,0.529377,10,1
2,2,0,0.99,0,0.644306,10,0.999
6,2,0,0.99,0,0.334508,10,1
8,2,0,0.99,0,0.248901,10,1
10,2,0,0.99,0,0.80765,10,0.999
0,3,0,0.99,0,0.760003,10,0.998
1,3,0,0.99,0,0.240295,10,1
2,3,0,0.99,0,0.325238,10,1
3,3,0,0.99,0,0.175451,10,1
4,3,0,0.99,0,0.367186,10,1
5,3,0,0.99,0,0.106281,10,1
6,3,0,0.99,0,0.310423,10,1
7,3,0,0.99,0,0.131947,10,1
9,3,0,0.99,0,0.467673,10,0.999
10,3,0,0.99,0,0.707351,10,1
11,3,0,0.99,0,0.699661,10,0.998
12,3,0,0.99,0,0.724889,10,1
1,4,0,0.99,0,0.598649,10,1
2,4,0,0.99,0,0.389729,10,1
4,4,0,0.99,0,0.410461,10,1
5,4,0,0.99,0,0.27895,10,1
6,4,0,0.99,0,0.369412,10,1
8,4,0,0.99,0,0.426963,10,1
9,4,0,0.99,0,0.804981,10,1
10,4,0,0.99,0,0.380608,10,1
12,4,0,0.99,0,0.479672,10,0.999
0,5,0,0.99,0,0.235438,10,1
1,5,0,0.99,0,0.831191,10,1
2,5,0,0.99,0,0.421779,10,1
3,5,0,0.99,0,0.366912,10,1
5,5,0,0.99,0,0.657686,10,0.999
6,5,0,0.99,0,0.174785,10,1
7,5,0,0.99,0,0.362718,10,0.999
8,5,0,0.99,0,0.223269,10,1
9,5,0,0.99,0,0.759215,10,1
11,5,0,0.99,0,0.706613,10,0.999
0,6,0,0.99,0,0.845544,10,1
3,6,0,0.99,0,0.679196,10,0.999
4,6,0,0.99,0,0.790388,10,1
6,6,0,0.99,0,0.724418,10,1
7,6,0,0.99,0,0.269571,10,1
9,6,0,0.99,0,0.471469,10,1
10,6,0,0.99,0,0.523615,10,1
0,7,0,0.99,0,0.167776,10,1
1,7,0,0.99,0,0.713835,10,1
2,7,0,0.99,0,0.519429,10,1
3,7,0,0.99,0,0.428638,10,1
4,7,0,0.99,0,0.257782,10,1
5,7,0,0.99,0,0.38437,10,1
6,7,0,0.99,0,0.259475,10,1
7,7,0,0.99,0,0.336424,10,1
11,7,0,0.99,0,0.416855,10,1
0,8,0,0.99,0,0.59926,10,1
2,8,0,0.99,0,0.190036,10,1
3,8,0,0.99,0,0.123015,10,1
4,8,0,0.99,0,0.25544,10,1
7,8,0,0.99,0,0.845655,10,1
8,8,0,0.99,0,0.856489,10,1
9,8,0,0.99,0,0.138776,10,0.999
11,8,0,0.99,0,0.800912,10,1
12,8,0,0.99,0,0.176171,10,1
13,8,0,0.99,0,0.150888,10,1
0,9,0,0.99,0,0.844701,10,1
1,9,0,0.99,0,0.486079,10,1
3,9,0,0.99,0,0.533907,10,1
4,9,0,0.99,0,0.108971,10,1
7,9,0,0.99,0,0.653858,10,0.999
8,9,0,0.99,0,0.410128,10,1
9,9,0,0.99,0,0.57756,10,1
10,9,0,0.99,0,0.374715,10,0.999
2,10,0,0.99,0,0.662072,10,0.999
3,10,0,0.99,0,0.277912,10,1
4,10,0,0.99,0,0.166486,10,0.999
5,10,0,0.99,0,0.544544,10,1
0,11,0,0.99,0,0.178013,10,0.999
1,11,0,0.99,0,0.464787,10,1
5,11,0,0.99,0,0.809167,10,1
0,0,1,0.99,0,0.151827,10,1
1,0,1,0.99,0,0.739823,10,1
2,0,1,0.99,0,0.737132,10,1
3,0,1,0.99,0,0.198392,10,0.998
5,0,1,0.99,0,0.852884,10,0.999
6,0,1,0.99,0,0.771344,10,1
7,0,1,0.99,0,0.111185,10,0.999
8,0,1,0.99,0,0.335532,10,0.999
9,0,1,0.99,0,0.718512,10,1
10,0,1,0.99,0,0.107902,10,1
11,0,1,0.99,0,0.225076,10,1
12,0,1,0.99,0,0.685757,10,1
0,1,1,0.99,0,0.198942,10,1
1,1,1,0.99,0,0.167152,10,1
2,1,1,0.99,0,0.769865,10,1
3,1,1,0.99,0,0.479527,10,1
4,1,1,0.99,0,0.365836,10,1
5,1,1,0.99,0,0.360377,10,1
6,1,1,0.99,0,0.756777,10,1
7,1,1,0.99,0,0.809631,10,1
8,1,1,0.99,0,0.566448,10,1
9,1,1,0.99,0,0.624989,10,0.999
10,1,1,0.99,0,0.612142,10,1
11,1,1,0.99,0,0.248025,10,0.997
0,2,1,0.99,0,0.610627,10,1
1,2,1,0.99,0,0.328906,10,1
2,2,1,0.99,0,0.694835,10,1
3,2,1,0.99,0,0.308423,10,1
4,2,1,0.99,0,0.469231,10,1
5,2,1,0.99,0,0.685128,10,1
6,2,1,0.99,0,0.482245,10,0.999
7,2,1,0.99,0,0.442182,10,1
8,2,1,0.99,0,0.628772,10,0.997
9,2,1,0.99,0,0.135975,10,0.999
0,3,1,0.99,0,0.580957,10,0.999
1,3,1,0.99,0,0.529028,10,1
2,3,1,0.99,0,0.607615,10,1
3,3,1,0.99,0,0.249157,10,1
4,3,1,0.99,0,0.442042,10,1
5,3,1,0.99,0,0.583126,10,0.999
6,3,1,0.99,0,0.4982,10,1
7,3,1,0.99,0,0.321038,10,0.999
8,3,1,0.99,0,0.581051,10,1
10,3,1,0.99,0,0.288721,10,1
11,3,1,0.99,0,0.219497,10,0.995
0,4,1,0.99,0,0.871308,10,1
1,4,1,0.99,0,0.749391,10,0.999
2,4,1,0.99,0,0.678595,10,1
3,4,1,0.99,0,0.651581,10,0.999
4,4,1,0.99,0,0.703738,10,0.999
5,4,1,0.99,0,0.355871,10,1
6,4,1,0.99,0,0.123669,10,0.993
8,4,1,0.99,0,0.49977,10,1
9,4,1,0.99,0,0.423118,10,0.999
10,4,1,0.99,0,0.246486,10,1
11,4,1,0.99,0,0.850693,10,1
0,5,1,0.99,0,0.28278,10,1
1,5,1,0.99,0,0.169888,10,0.999
2,5,1,0.99,0,0.113485,10,0.999
3,5,1,0.99,0,0.652306,10,1
4,5,1,0.99,0,0.552889,10,1
5,5,1,0.99,0,0.77393,10,0.999
6,5,1,0.99,0,0.626673,10,1
7,5,1,0.99,0,0.191218,10,0.999
9,5,1,0.99,0,0.807573,10,0.999
0,6,1,0.99,0,0.509385,10,1
1,6,1,0.99,0,0.247934,10,0.999
2,6,1,0.99,0,0.298612,10,0.996
3,6,1,0.99,0,0.870417,10,1
4,6,1,0.99,0,0.152547,10,1
5,6,1,0.99,0,0.83965,10,1
7,6,1,0.99,0,0.316063,10,0.995
0,7,1,0.99,0,0.64032,10,1
1,7,1,0.99,0,0.589882,10,1
2,7,1,0.99,0,0.808802,10,0.999
3,7,1,0.99,0,0.371395,10,1
4,7,1,0.99,0,0.547769,10,0.999
6,7,1,0.99,0,0.811184,10,1
7,7,1,0.99,0,0.646662,10,0.999
0,8,1,0.99,0,0.33065,10,1
1,8,1,0.99,0,0.504294,10,0.999
2,8,1,0.99,0,0.210858,10,1
3,8,1,0.99,0,0.733743,10,0.999
4,8,1,0.99,0,0.388984,10,0.995
5,8,1,0.99,0,0.74178,10,0.999
0,9,1,0.99,0,0.430049,10,1
1,9,1,0.99,0,0.642727,10,1
2,9,1,0.99,0,0.744379,10,1
3,9,1,0.99,0,0.197609,10,0.999
0,10,1,0.99,0,0.772192,10,1
1,10,1,0.99,0,0.765824,10,0.999
2,10,1,0.99,0,0.85126,10,1
6,10,1,0.99,0,0.614701,10,1
0,11,1,0.99,0,0.41861,10,0.999
1,11,1,0.99,0,0.229282,10,0.998
1,0,2,0.99,0,0.682432,10,0.999
2,0,2,0.99,0,0.338214,10,1
3,0,2,0.99,0,0.370006,10,1
4,0,2,0.99,0,0.495337,10,0.999
7,0,2,0.99,0,0.242435,10,1
8,0,2,0.99,0,0.441501,10,0.999
9,0,2,0.99,0,0.342443,10,1
11,0,2,0.99,0,0.155593,10,1
0,1,2,0.99,0,0.152736,10,1
1,1,2,0.99,0,0.554448,10,1
2,1,2,0.99,0,0.668775,10,1
3,1,2,0.99,0,0.538063,10,1
4,1,2,0.99,0,0.447579,10,1
5,1,2,0.99,0,0.473695,10,1
6,1,2,0.99,0,0.526769,10,1
7,1,2,0.99,0,0.816025,10,1
8,1,2,0.99,0,0.509784,10,1
9,1,2,0.99,0,0.379898,10,1
1,2,2,0.99,0,0.373892,10,1
2,2,2,0.99,0,0.371181,10,1
3,2,2,0.99,0,0.704818,10,1
4,2,2,0.99,0,0.704885,10,1
5,2,2,0.99,0,0.78525,10,1
0,3,2,0.99,0,0.135192,10,1
1,3,2,0.99,0,0.76365,10,0.999
2,3,2,0.99,0,0.715563,10,1
3,3,2,0.99,0,0.175655,10,1
4,3,2,0.99,0,0.252229,10,1
0,4,2,0.99,0,0.32299,10,1
3,4,2,0.99,0,0.434177,10,1
0,5,2,0.99,0,0.855181,10,1
1,5,2,0.99,0,0.289428,10,0.998
2,5,2,0.99,0,0.600334,10,1
3,5,2,0.99,0,0.189636,10,0.995
1,6,2,0.99,0,0.419919,10,1
2,6,2,0.99,0,0.790573,10,1
7,6,2,0.99,0,0.880064,10,0.991
0,7,2,0.99,0,0.560339,10,1
1,7,2,0.99,0,0.824093,10,0.999
2,7,2,0.99,0,0.189734,10,1
4,7,2,0.99,0,0.761131,10,0.999
0,0,3,0.99,0,0.189423,10,1
1,0,3,0.99,0,0.66714,10,0.999
2,0,3,0.99,0,0.431436,10,1
3,0,3,0.99,0,0.306539,10,1
4,0,3,0.99,0,0.463326,10,1
5,0,3,0.99,0,0.229725,10,1
6,0,3,0.99,0,0.557061,10,1
8,0,3,0.99,0,0.765394,10,1
9,0,3,0.99,0,0.829414,10,0.999
10,0,3,0.99,0,0.225298,10,1
12,0,3,0.99,0,0.225028,10,1
0,1,3,0.99,0,0.197176,10,0.999
1,1,3,0.99,0,0.314449,10,0.999
2,1,3,0.99,0,0.365252,10,0.999
3,1,3,0.99,0,0.365326,10,1
4,1,3,0.99,0,0.127787,10,1
5,1,3,0.99,0,0.527777,10,0.999
6,1,3,0.99,0,0.306747,10,1
7,1,3,0.99,0,0.264981,10,1
8,1,3,0.99,0,0.519057,10,1
9,1,3,0.99,0,0.12358,10,1
10,1,3,0.99,0,0.608172,10,1
11,1,3,0.99,0,0.727959,10,1
0,2,3,0.99,0,0.38189,10,1
2,2,3,0.99,0,0.159116,10,1
3,2,3,0.99,0,0.704024,10,1
4,2,3,0.99,0,0.580795,10,1
5,2,3,0.99,0,0.405387,10,1
6,2,3,0.99,0,0.535504,10,0.994
7,2,3,0.99,0,0.742871,10,1
0,3,3,0.99,0,0.893844,10,1
1,3,3,0.99,0,0.588817,10,1
2,3,3,0.99,0,0.175205,10,1
